Local Time,Volume
23:00,2927.631101307322
00:00,2808.2235994887983
01:00,3175.923602346806
02:00,3328.106597967436
03:00,780.689713522862
04:00,2156.8528174227017
05:00,2086.4505822164692
06:00,2691.134067998022
07:00,2711.8935139176097
08:00,2531.1399381473066
09:00,3417.9794640377972
10:00,2484.2973852488753
11:00,3253.164021965344
12:00,2597.700928257433
13:00,3247.466735257027
14:00,3824.6695297820156
15:00,2951.1347545005297
16:00,2370.5682574720677
17:00,2354.2665906787265
18:00,2589.536094187277
19:00,2475.066896173391
20:00,2592.111384737679
21:00,1931.8126326408478
22:00,2956.9133954158283
