Local Time,Volume
23:00,3596.7335887262016
00:00,2922.056974561572
01:00,4503.705798086943
02:00,2510.48596084324
03:00,2989.443512154452
04:00,2445.217451249381
05:00,3300.232457067834
06:00,3126.779408911755
07:00,4032.9466761381254
08:00,2613.055831451965
09:00,3444.098064090997
10:00,3146.34807460353
11:00,3683.682194895745
12:00,2357.4093465231485
13:00,3985.4772097149157
14:00,3280.1160457080327
15:00,3702.9591402634737
16:00,2462.2129910057342
17:00,3008.9877623145485
18:00,3493.747109991985
19:00,3764.8101303048184
20:00,3451.7245089652497
21:00,2998.256285159129
22:00,2342.9407963160297
